XZI Gare_de_Lorraine_TGV Metz–Nancy France
GUL Goulburn_Airport Goulburn,_New_South_Wales Australia
GOV Nhulunbuy_Airport Gove,_Northern_Territory Australia
GFN Grafton_Airport Grafton,_New_South_Wales Australia
GTS Granite_Downs_Airport Granite_Downs,_South_Australia Australia
GKL Great_Keppel_Island_Airport Great_Keppel_Island,_Queensland Australia
GVP Greenvale_Airport Greenvale,_Queensland Australia
GGD Gregory_Downs_Airport Gregory_Downs,_Queensland Australia
GFF Griffith_Airport Griffith,_New_South_Wales Australia
GTE Groote_Eylandt_Airport Groote_Eylandt,_Northern_Territory Australia
GEX Geelong_Airport Grovedale,_Victoria Australia
GUH Gunnedah_Airport Gunnedah,_New_South_Wales Australia
GYP Gympie_Airport Gympie,_Queensland Australia
HCQ Halls_Creek_Airport Halls_Creek,_Western_Australia Australia
HTI Great_Barrier_Reef_Airport Hamilton_Island,_Queensland Australia
HLT Hamilton_Airport Hamilton,_Victoria Australia
HWK Wilpena_Pound Hawker,_South_Australia Australia
HXX Hay_Airport Hay,_New_South_Wales Australia
HIS Hayman_Island_Resort_Seaplace_Base Hayman_Island,_Queensland Australia
HIP Headingly_Airport Headingly,_Queensland Australia
HAT Heathlands_Airport Heathlands,_Queensland Australia
HLV Helenvale_Airport Helenvale,_Queensland Australia
HRY Henbury_Airport Henbury,_Northern_Territory Australia
HMG Hermannsburg_Airport Hermannsburg,_Northern_Territory Australia
HRN Heron_Island_Heliport Heron_Island,_Queensland Australia
HVB Hervey_Bay_Airport Hervey_Bay,_Queensland Australia
HIG Highbury_Airport Highbury,_Queensland Australia
HLL Hillside_Airport Hillside,_Western_Australia Australia
HNK Hinchinbrook_Island_Airport Hinchinbrook_Island,_Queensland Australia
HBA Hobart_Airport Hobart,_Tasmania Australia
HIH Hook_Island_Airport Hook_Island,_Queensland Australia
HPE Hope_Vale_Airport Hope_Vale,_Queensland Australia
HTU Hopetoun_Airport Hopetoun,_Victoria Australia
HID Horn_Island_Airport Horn_Island,_Queensland Australia
HSM Horsham_Airport Horsham,_Victoria Australia
HGD Hughenden_Airport Hughenden,_Queensland Australia
HUB Humbert_River_Airport Humbert_River,_Northern_Territory Australia
IFF Iffley_Airport Iffley,_Queensland Australia
IDK Indulkana_Airport Indulkana,_South_Australia Australia
IGH Ingham_Airport Ingham,_Queensland Australia
INJ Injune_Airport Injune,_Queensland Australia
IKP Inkerman_Airport Inkerman,_Queensland Australia
INM Innamincka_Airport Innamincka,_South_Australia Australia
IFL Innisfail_Airport Innisfail,_Queensland Australia
IVR Inverell_Airport Inverell,_New_South_Wales Australia
IVW Inverway_Airport Inverway,_Northern_Territory Australia
ISI Isisford_Airport Isisford,_Queensland Australia
